,CreationDate,Date,Type,Scheduled,Destination,FlightNumber,Airline,Confirmed
0,2021-09-05,2021-09-06,Departure,00:05,Varsjá,W61540,Wizz Air,Á áætlun
1,2021-09-05,2021-09-06,Departure,00:25,Frankfurt,LH869,Lufthansa,Á áætlun
2,2021-09-05,2021-09-06,Departure,00:30,Dusseldorf,EW9281,Eurowings,Á áætlun
3,2021-09-05,2021-09-06,Departure,07:20,Zurich,FI568,Icelandair,Á áætlun
4,2021-09-05,2021-09-06,Departure,07:20,Munchen,FI532,Icelandair,Á áætlun
5,2021-09-05,2021-09-06,Departure,07:20,Genf,FI564,Icelandair,Á áætlun
6,2021-09-05,2021-09-06,Departure,07:25,Frankfurt,FI520,Icelandair,Á áætlun
7,2021-09-05,2021-09-06,Departure,07:30,Helsinki,FI342AY6816,Icelandair,Á áætlun
8,2021-09-05,2021-09-06,Departure,07:35,Stokkhólmur,FI306SK6156 SU3615 AY6814,Icelandair,Á áætlun
9,2021-09-05,2021-09-06,Departure,07:40,París CDG,FI542,Icelandair,Á áætlun
10,2021-09-05,2021-09-06,Departure,07:40,Brussel,FI554,Icelandair,Á áætlun
11,2021-09-05,2021-09-06,Departure,07:40,Amsterdam,FI500SU3617,Icelandair,Á áætlun
12,2021-09-05,2021-09-06,Departure,07:40,London Heathrow,FI450,Icelandair,Á áætlun
13,2021-09-05,2021-09-06,Departure,07:40,Berlin Brandenburg,FI528,Icelandair,Á áætlun
14,2021-09-05,2021-09-06,Departure,07:45,Kaupmannahöfn,FI204SK6150 SU4480,Icelandair,Á áætlun
15,2021-09-05,2021-09-06,Departure,07:50,Osló,FI318AY6818 SU3611,Icelandair,Á áætlun
16,2021-09-05,2021-09-06,Departure,07:50,Amsterdam,FI506SU4483,Icelandair,Á áætlun
17,2021-09-05,2021-09-06,Departure,08:00,Manchester,FI440,Icelandair,Á áætlun
18,2021-09-05,2021-09-06,Departure,08:00,Kaupmannahöfn,FI206SU4481,Icelandair,Á áætlun
19,2021-09-05,2021-09-06,Departure,09:10,London Luton,EZY2296,EasyJet,Á áætlun
20,2021-09-05,2021-09-06,Departure,09:20,Boston,FI635B65635,Icelandair,Á áætlun
21,2021-09-05,2021-09-06,Departure,09:30,Minneapolis St Paul,DL261,Delta,Á áætlun
22,2021-09-05,2021-09-06,Departure,10:05,Boston,DL267,Delta,Á áætlun
23,2021-09-05,2021-09-06,Departure,10:30,Kaupmannahöfn,SK596,SAS,Á áætlun
24,2021-09-05,2021-09-06,Departure,10:30,Chicago,UA913,United Airlines,Á áætlun
25,2021-09-05,2021-09-06,Departure,11:00,Skopje,OU9366,Croatia Airlines,Á áætlun
26,2021-09-05,2021-09-06,Departure,11:00,Osló,SK4788,SAS,Á áætlun
27,2021-09-05,2021-09-06,Departure,11:15,New York JFK,DL247,Delta,Á áætlun
28,2021-09-05,2021-09-06,Departure,11:15,Manchester,LS4088,JET2.Com,Á áætlun
29,2021-09-05,2021-09-06,Departure,11:20,New York Newark,UA967,United Airlines,Á áætlun
30,2021-09-05,2021-09-06,Departure,11:40,Vagar,RC402KL9532 AF3886,Atlantic Airways,Á áætlun
31,2021-09-05,2021-09-06,Departure,14:00,Mílanó,FI592,Icelandair,Á áætlun
32,2021-09-05,2021-09-06,Departure,15:10,Riga,BT170,Air Baltic,Á áætlun
33,2021-09-05,2021-09-06,Departure,15:15,Kaupmannahöfn,OG904,Play,Á áætlun
34,2021-09-05,2021-09-06,Departure,15:15,Barcelona,OG614,Play,Á áætlun
35,2021-09-05,2021-09-06,Departure,16:00,París CDG,FI540,Icelandair,Á áætlun
36,2021-09-05,2021-09-06,Departure,16:10,London Heathrow,FI454,Icelandair,Á áætlun
