,Airline,Confirmed,CreationDate,Date,Destination,FlightNumber,Scheduled,Type
0,Lufthansa,Farin 00:35,2021-07-24,2021-07-24,Frankfurt,LH869,00:25,Departure
1,Icelandair,Farin 07:35,2021-07-24,2021-07-24,Genf,FI564,07:20,Departure
2,Icelandair,Farin 07:31,2021-07-24,2021-07-24,Zurich,FI568,07:20,Departure
3,Icelandair,Farin 07:33,2021-07-24,2021-07-24,Munchen,FI532,07:20,Departure
4,Icelandair,Farin 07:40,2021-07-24,2021-07-24,Frankfurt,FI520,07:25,Departure
5,Icelandair,Farin 07:50,2021-07-24,2021-07-24,Stokkhólmur,FI306,07:35,Departure
6,Icelandair,Farin 07:43,2021-07-24,2021-07-24,Amsterdam,FI500,07:40,Departure
7,Icelandair,Farin 08:02,2021-07-24,2021-07-24,Berlin Brandenburg,FI528,07:40,Departure
8,Icelandair,Farin 07:49,2021-07-24,2021-07-24,Brussel,FI554,07:40,Departure
9,Icelandair,Farin 07:50,2021-07-24,2021-07-24,París CDG,FI542,07:40,Departure
10,Icelandair,Farin 07:51,2021-07-24,2021-07-24,London Heathrow,FI450,07:40,Departure
11,Icelandair,Farin 07:54,2021-07-24,2021-07-24,París CDG,FI544,07:45,Departure
12,Icelandair,Farin 08:09,2021-07-24,2021-07-24,Kaupmannahöfn,FI204,07:45,Departure
13,Icelandair,Farin 07:53,2021-07-24,2021-07-24,Amsterdam,FI506SU4483,07:50,Departure
14,Icelandair,Farin 08:11,2021-07-24,2021-07-24,Kaupmannahöfn,FI206SU4481,08:00,Departure
15,Neos,Farin 08:18,2021-07-24,2021-07-24,Verona,NO6956,08:20,Departure
16,Icelandair,Farin 08:39,2021-07-24,2021-07-24,Tenerife South,FI580,08:40,Departure
17,Icelandair,Farin 09:35,2021-07-24,2021-07-24,Boston,FI635,09:20,Departure
18,Delta,Farin 09:28,2021-07-24,2021-07-24,Minneapolis St Paul,DL261,09:30,Departure
19,Play,Farin 10:00,2021-07-24,2021-07-24,Alicante,OG600,10:00,Departure
20,Play,Farin 10:10,2021-07-24,2021-07-24,Tenerife South,OG620,10:05,Departure
21,British Airways,Farin 10:04,2021-07-24,2021-07-24,London Heathrow,BA801,10:10,Departure
22,Delta,Farin 10:37,2021-07-24,2021-07-24,Boston,DL267,10:15,Departure
23,United Airlines,Farin 10:31,2021-07-24,2021-07-24,Chicago,UA913,10:30,Departure
24,Delta,Farin 10:47,2021-07-24,2021-07-24,New York JFK,DL247,10:50,Departure
25,United Airlines,Farin 11:30,2021-07-24,2021-07-24,New York Newark,UA967,11:20,Departure
26,Lufthansa,Farin 13:41,2021-07-24,2021-07-24,Frankfurt,LH857,13:35,Departure
27,Wizz Air,Farin 15:28,2021-07-24,2021-07-24,Katowice,W61168,13:40,Departure
28,Icelandair,Farin 13:49,2021-07-24,2021-07-24,Barcelona,FI596,14:00,Departure
29,Icelandair,Farin 13:56,2021-07-24,2021-07-24,Mílanó,FI592,14:00,Departure
30,Icelandair,Farin 16:13,2021-07-24,2021-07-24,Madríd,FI594,14:00,Departure
31,Wizz Air,Farin 15:59,2021-07-24,2021-07-24,Dortmund,W64714,15:50,Departure
32,Icelandair,Farin 17:07,2021-07-24,2021-07-24,Kaupmannahöfn,FI216SU3618,16:25,Departure
33,Wizz Air,Farin 16:52,2021-07-24,2021-07-24,Búdapest,W62428,16:30,Departure
34,Edelweiss,Farin 16:39,2021-07-24,2021-07-24,Zurich,WK301,16:30,Departure
35,Wizz Air,Farin 17:21,2021-07-24,2021-07-24,Vín,W62858,16:40,Departure
36,Icelandair,Farin 17:00,2021-07-24,2021-07-24,Chicago,FI853,16:45,Departure
37,Icelandair,Farin 17:00,2021-07-24,2021-07-24,Minneapolis St Paul,FI657,16:45,Departure
38,Icelandair,Farin 16:58,2021-07-24,2021-07-24,Portland,FI665,16:50,Departure
39,Icelandair,Farin 17:10,2021-07-24,2021-07-24,Washington Dulles,FI645,16:50,Departure
40,Icelandair,Farin 17:16,2021-07-24,2021-07-24,Denver,FI671,16:55,Departure
41,Icelandair,Farin 17:23,2021-07-24,2021-07-24,New York Newark,FI623,17:00,Departure
42,Icelandair,Farin 17:25,2021-07-24,2021-07-24,New York JFK,FI615,17:00,Departure
43,Icelandair,Farin 17:16,2021-07-24,2021-07-24,Seattle,FI681,17:05,Departure
44,Vueling,Farin 17:05,2021-07-24,2021-07-24,Barcelona,VY8561,17:10,Departure
45,Icelandair,Farin 17:35,2021-07-24,2021-07-24,Boston,FI631,17:15,Departure
46,Icelandair,Farin 18:13,2021-07-24,2021-07-24,Seattle,FI683,17:50,Departure
47,Wizz Air,Farin 18:54,2021-07-24,2021-07-24,Wroclaw,W61898,18:50,Departure
48,Wizz Air,Farin 19:15,2021-07-24,2021-07-24,Mílanó,W65566,19:20,Departure
49,Transavia,Farin 19:50,2021-07-24,2021-07-24,Amsterdam,HV6888,19:50,Departure
50,Wizz Air,Farin 21:11,2021-07-24,2021-07-24,Gdansk,W61774,20:50,Departure
51,Wizz Air,Á áætlun,2021-07-24,2021-07-25,Varsjá,W61540,00:10,Departure
52,Lufthansa,Á áætlun,2021-07-24,2021-07-25,Munchen,LH2469,01:05,Departure
53,Czech Airlines,Á áætlun,2021-07-24,2021-07-25,Prag,OK461,01:30,Departure
54,Iberia Express,Á áætlun,2021-07-24,2021-07-25,Madríd,I23661,01:35,Departure
55,Play,Á áætlun,2021-07-24,2021-07-25,París CDG,OG400,06:00,Departure
56,Play,Á áætlun,2021-07-24,2021-07-25,London Stansted,OG800,06:30,Departure
57,Icelandair,Á áætlun,2021-07-24,2021-07-25,Zurich,FI568,07:20,Departure
58,Icelandair,Áætluð brottför 07:20,2021-07-24,2021-07-25,Munchen,FI532,07:20,Departure
59,Icelandair,Á áætlun,2021-07-24,2021-07-25,Frankfurt,FI520,07:25,Departure
60,Icelandair,Á áætlun,2021-07-24,2021-07-25,Stokkhólmur,FI306SK6156 SU3615 AY6814,07:35,Departure
61,Icelandair,Á áætlun,2021-07-24,2021-07-25,Berlin Brandenburg,FI528,07:40,Departure
62,Icelandair,Áætluð brottför 07:40,2021-07-24,2021-07-25,London Heathrow,FI450,07:40,Departure
63,Icelandair,Á áætlun,2021-07-24,2021-07-25,París CDG,FI542,07:40,Departure
64,Icelandair,Áætluð brottför 07:40,2021-07-24,2021-07-25,Amsterdam,FI500SU3617,07:40,Departure
65,Icelandair,Á áætlun,2021-07-24,2021-07-25,Brussel,FI554,07:40,Departure
66,Icelandair,Á áætlun,2021-07-24,2021-07-25,Kaupmannahöfn,FI204SK6150 SU4480,07:45,Departure
67,Icelandair,Á áætlun,2021-07-24,2021-07-25,Hamborg,FI510,07:50,Departure
68,Icelandair,Á áætlun,2021-07-24,2021-07-25,Osló,FI318AY6818 SU3611,07:50,Departure
69,Icelandair,Á áætlun,2021-07-24,2021-07-25,Kaupmannahöfn,FI206SU4481,08:00,Departure
70,Icelandair,Á áætlun,2021-07-24,2021-07-25,Malaga,FI1526,08:50,Departure
71,Delta,Á áætlun,2021-07-24,2021-07-25,Minneapolis St Paul,DL261,09:30,Departure
72,EasyJet,Á áætlun,2021-07-24,2021-07-25,London Luton,EZY2296,09:35,Departure
73,SAS,Á áætlun,2021-07-24,2021-07-25,Kaupmannahöfn,SK596,09:55,Departure
74,Norwegian,Á áætlun,2021-07-24,2021-07-25,Osló,DY1171,10:00,Departure
75,Delta,Á áætlun,2021-07-24,2021-07-25,Boston,DL267,10:15,Departure
76,United Airlines,Á áætlun,2021-07-24,2021-07-25,Chicago,UA913,10:30,Departure
77,Eurowings,Á áætlun,2021-07-24,2021-07-25,Hamborg,EW7809,10:35,Departure
78,Delta,Á áætlun,2021-07-24,2021-07-25,New York JFK,DL247,10:50,Departure
79,United Airlines,Á áætlun,2021-07-24,2021-07-25,New York Newark,UA967,11:20,Departure
80,SAS,Á áætlun,2021-07-24,2021-07-25,Osló,SK4788,12:45,Departure
81,Air Baltic,Á áætlun,2021-07-24,2021-07-25,Riga,BT170,15:10,Departure
82,Play,Á áætlun,2021-07-24,2021-07-25,Berlin Brandenburg,OG704,15:15,Departure
83,Play,Á áætlun,2021-07-24,2021-07-25,Kaupmannahöfn,OG904,15:15,Departure
84,EasyJet,Á áætlun,2021-07-24,2021-07-25,Edinborg,EZY6942,15:25,Departure
85,Icelandair,Á áætlun,2021-07-24,2021-07-25,Frankfurt,FI524,15:55,Departure
86,Icelandair,Á áætlun,2021-07-24,2021-07-25,Amsterdam,FI504SU3596,16:00,Departure
87,Icelandair,Á áætlun,2021-07-24,2021-07-25,París CDG,FI540,16:00,Departure
88,Icelandair,Á áætlun,2021-07-24,2021-07-25,Kaupmannahöfn,FI216SU3618,16:10,Departure
89,Icelandair,Á áætlun,2021-07-24,2021-07-25,London Heathrow,FI454,16:10,Departure
90,El Al Israel Airlines Ltd.,Á áætlun,2021-07-24,2021-07-25,Tel Aviv,LY3202,16:30,Departure
91,Icelandair,Á áætlun,2021-07-24,2021-07-25,Minneapolis St Paul,FI657,16:45,Departure
92,Icelandair,Á áætlun,2021-07-24,2021-07-25,Chicago,FI853,16:45,Departure
93,Icelandair,Á áætlun,2021-07-24,2021-07-25,Washington Dulles,FI645B65645,16:50,Departure
94,Icelandair,Á áætlun,2021-07-24,2021-07-25,Denver,FI671,16:55,Departure
95,Icelandair,Á áætlun,2021-07-24,2021-07-25,New York Newark,FI623,17:00,Departure
96,Icelandair,Á áætlun,2021-07-24,2021-07-25,New York JFK,FI615,17:00,Departure
97,Icelandair,Á áætlun,2021-07-24,2021-07-25,Seattle,FI681,17:05,Departure
98,Icelandair,Á áætlun,2021-07-24,2021-07-25,Boston,FI631B65631,17:15,Departure
99,Wizz Air,Á áætlun,2021-07-24,2021-07-25,Riga,W62598,20:50,Departure
100,Wizz Air,Á áætlun,2021-07-24,2021-07-26,Varsjá,W61540,00:10,Departure
101,Lufthansa,Á áætlun,2021-07-24,2021-07-26,Frankfurt,LH869,00:25,Departure
102,Eurowings,Á áætlun,2021-07-24,2021-07-26,Dusseldorf,EW9281,00:30,Departure
103,Austrian,Á áætlun,2021-07-24,2021-07-26,Vín,OS9762,01:00,Departure
104,Czech Airlines,Á áætlun,2021-07-24,2021-07-26,Prag,OK461,02:00,Departure
105,Play,Á áætlun,2021-07-24,2021-07-26,París CDG,OG400,06:00,Departure
106,Play,Á áætlun,2021-07-24,2021-07-26,London Stansted,OG800,06:30,Departure
107,Icelandair,Á áætlun,2021-07-24,2021-07-26,Genf,FI564,07:20,Departure
108,Icelandair,Á áætlun,2021-07-24,2021-07-26,Zurich,FI568,07:20,Departure
109,Icelandair,Á áætlun,2021-07-24,2021-07-26,Munchen,FI532,07:20,Departure
110,Icelandair,Á áætlun,2021-07-24,2021-07-26,Frankfurt,FI520,07:25,Departure
111,Icelandair,Á áætlun,2021-07-24,2021-07-26,Stokkhólmur,FI306SK6156 SU3615 AY6814,07:35,Departure
112,Icelandair,Á áætlun,2021-07-24,2021-07-26,Brussel,FI554,07:40,Departure
113,Icelandair,Á áætlun,2021-07-24,2021-07-26,París CDG,FI542,07:40,Departure
114,Icelandair,Á áætlun,2021-07-24,2021-07-26,London Heathrow,FI450,07:40,Departure
115,Icelandair,Á áætlun,2021-07-24,2021-07-26,Berlin Brandenburg,FI528,07:40,Departure
116,Icelandair,Á áætlun,2021-07-24,2021-07-26,Amsterdam,FI500SU3617,07:40,Departure
117,Icelandair,Á áætlun,2021-07-24,2021-07-26,Kaupmannahöfn,FI204SK6150 SU4480,07:45,Departure
118,Icelandair,Á áætlun,2021-07-24,2021-07-26,Osló,FI318AY6818 SU3611,07:50,Departure
119,Icelandair,Á áætlun,2021-07-24,2021-07-26,Kaupmannahöfn,FI206SU4481,08:00,Departure
120,EasyJet,Á áætlun,2021-07-24,2021-07-26,London Luton,EZY2296,08:45,Departure
121,Transavia,Á áætlun,2021-07-24,2021-07-26,Amsterdam,HV6886,08:45,Departure
122,Icelandair,Á áætlun,2021-07-24,2021-07-26,Alicante,FI1582,08:50,Departure
123,Icelandair,Á áætlun,2021-07-24,2021-07-26,Boston,FI635B65635,09:20,Departure
124,Delta,Á áætlun,2021-07-24,2021-07-26,Minneapolis St Paul,DL261,09:30,Departure
125,Delta,Á áætlun,2021-07-24,2021-07-26,Boston,DL267,10:15,Departure
126,Atlantic Airways,Á áætlun,2021-07-24,2021-07-26,Vagar,RC402KL9532 AF3886,10:20,Departure
127,United Airlines,Á áætlun,2021-07-24,2021-07-26,Chicago,UA913,10:30,Departure
128,SAS,Á áætlun,2021-07-24,2021-07-26,Kaupmannahöfn,SK596,10:30,Departure
129,Delta,Á áætlun,2021-07-24,2021-07-26,New York JFK,DL247,10:50,Departure
130,SAS,Á áætlun,2021-07-24,2021-07-26,Osló,SK4788,11:10,Departure
131,United Airlines,Á áætlun,2021-07-24,2021-07-26,New York Newark,UA967,11:20,Departure
132,Icelandair,Á áætlun,2021-07-24,2021-07-26,Mílanó,FI592,14:00,Departure
133,Air Baltic,Á áætlun,2021-07-24,2021-07-26,Riga,BT170,15:10,Departure
134,Play,Á áætlun,2021-07-24,2021-07-26,Barcelona,OG614,15:15,Departure
135,Play,Á áætlun,2021-07-24,2021-07-26,Berlin Brandenburg,OG704,15:15,Departure
136,Icelandair,Á áætlun,2021-07-24,2021-07-26,París CDG,FI540,16:00,Departure
137,Icelandair,Á áætlun,2021-07-24,2021-07-26,Kaupmannahöfn,FI216SU3618,16:10,Departure
138,Icelandair,Á áætlun,2021-07-24,2021-07-26,London Heathrow,FI454,16:10,Departure
139,Icelandair,Á áætlun,2021-07-24,2021-07-26,Billund,FI274,16:40,Departure
140,Icelandair,Á áætlun,2021-07-24,2021-07-26,Chicago,FI853,16:45,Departure
141,Icelandair,Á áætlun,2021-07-24,2021-07-26,Portland,FI665,16:50,Departure
142,Icelandair,Á áætlun,2021-07-24,2021-07-26,Washington Dulles,FI645B65645,16:50,Departure
143,Icelandair,Á áætlun,2021-07-24,2021-07-26,Denver,FI671,16:55,Departure
144,Icelandair,Á áætlun,2021-07-24,2021-07-26,New York JFK,FI615,17:00,Departure
145,Icelandair,Á áætlun,2021-07-24,2021-07-26,New York Newark,FI623,17:00,Departure
146,Icelandair,Á áætlun,2021-07-24,2021-07-26,Seattle,FI681,17:05,Departure
147,Vueling,Á áætlun,2021-07-24,2021-07-26,Barcelona,VY8561,17:10,Departure
148,Icelandair,Á áætlun,2021-07-24,2021-07-26,Orlando,FI689B65689,17:15,Departure
149,Icelandair,Á áætlun,2021-07-24,2021-07-26,Boston,FI631B65631,17:15,Departure
150,Wizz Air,Á áætlun,2021-07-24,2021-07-26,Rome Fiumicino,W68266,19:20,Departure
151,Wizz Air,Á áætlun,2021-07-24,2021-07-26,Katowice,W61168,20:00,Departure
152,Lufthansa,Á áætlun,2021-07-24,2021-07-27,Frankfurt,LH869,00:25,Departure
153,Czech Airlines,Á áætlun,2021-07-24,2021-07-27,Prag,OK461,01:30,Departure
154,Icelandair,Á áætlun,2021-07-24,2021-07-27,Munchen,FI532,07:20,Departure
