Airline,Confirmed,CreationDate,Date,Destination,FlightNumber,Scheduled,Type,Scenario
Lufthansa,Farin 00:35,2021-07-24,2021-07-24,Frankfurt,LH869,00:25,Departure,Plan
Icelandair,Farin 07:35,2021-07-24,2021-07-24,Genf,FI564,07:20,Departure,Plan
Icelandair,Farin 07:31,2021-07-24,2021-07-24,Zurich,FI568,07:20,Departure,Plan
Icelandair,Farin 07:33,2021-07-24,2021-07-24,Munchen,FI532,07:20,Departure,Plan
Icelandair,Farin 07:40,2021-07-24,2021-07-24,Frankfurt,FI520,07:25,Departure,Plan
Icelandair,Farin 07:50,2021-07-24,2021-07-24,Stokkhólmur,FI306,07:35,Departure,Plan
Icelandair,Farin 07:43,2021-07-24,2021-07-24,Amsterdam,FI500,07:40,Departure,Plan
Icelandair,Farin 08:02,2021-07-24,2021-07-24,Berlin Brandenburg,FI528,07:40,Departure,Plan
Icelandair,Farin 07:49,2021-07-24,2021-07-24,Brussel,FI554,07:40,Departure,Plan
Icelandair,Farin 07:50,2021-07-24,2021-07-24,París CDG,FI542,07:40,Departure,Plan
Icelandair,Farin 07:51,2021-07-24,2021-07-24,London Heathrow,FI450,07:40,Departure,Plan
Icelandair,Farin 07:54,2021-07-24,2021-07-24,París CDG,FI544,07:45,Departure,Plan
Icelandair,Farin 08:09,2021-07-24,2021-07-24,Kaupmannahöfn,FI204,07:45,Departure,Plan
Icelandair,Farin 07:53,2021-07-24,2021-07-24,Amsterdam,FI506SU4483,07:50,Departure,Plan
Icelandair,Farin 08:11,2021-07-24,2021-07-24,Kaupmannahöfn,FI206SU4481,08:00,Departure,Plan
Neos,Farin 08:18,2021-07-24,2021-07-24,Verona,NO6956,08:20,Departure,Plan
Icelandair,Farin 08:39,2021-07-24,2021-07-24,Tenerife South,FI580,08:40,Departure,Plan
Icelandair,Farin 09:35,2021-07-24,2021-07-24,Boston,FI635,09:20,Departure,Plan
Delta,Farin 09:28,2021-07-24,2021-07-24,Minneapolis St Paul,DL261,09:30,Departure,Plan
Play,Farin 10:00,2021-07-24,2021-07-24,Alicante,OG600,10:00,Departure,Plan
Play,Farin 10:10,2021-07-24,2021-07-24,Tenerife South,OG620,10:05,Departure,Plan
British Airways,Farin 10:04,2021-07-24,2021-07-24,London Heathrow,BA801,10:10,Departure,Plan
Delta,Farin 10:37,2021-07-24,2021-07-24,Boston,DL267,10:15,Departure,Plan
United Airlines,Farin 10:31,2021-07-24,2021-07-24,Chicago,UA913,10:30,Departure,Plan
Delta,Farin 10:47,2021-07-24,2021-07-24,New York JFK,DL247,10:50,Departure,Plan
United Airlines,Farin 11:30,2021-07-24,2021-07-24,New York Newark,UA967,11:20,Departure,Plan
Lufthansa,Farin 13:41,2021-07-24,2021-07-24,Frankfurt,LH857,13:35,Departure,Plan
Wizz Air,Farin 15:28,2021-07-24,2021-07-24,Katowice,W61168,13:40,Departure,Plan
Icelandair,Farin 13:49,2021-07-24,2021-07-24,Barcelona,FI596,14:00,Departure,Plan
Icelandair,Farin 13:56,2021-07-24,2021-07-24,Mílanó,FI592,14:00,Departure,Plan
Icelandair,Farin 16:13,2021-07-24,2021-07-24,Madríd,FI594,14:00,Departure,Plan
Wizz Air,Farin 15:59,2021-07-24,2021-07-24,Dortmund,W64714,15:50,Departure,Plan
Icelandair,Farin 17:07,2021-07-24,2021-07-24,Kaupmannahöfn,FI216SU3618,16:25,Departure,Plan
Wizz Air,Farin 16:52,2021-07-24,2021-07-24,Búdapest,W62428,16:30,Departure,Plan
Edelweiss,Farin 16:39,2021-07-24,2021-07-24,Zurich,WK301,16:30,Departure,Plan
Wizz Air,Farin 17:21,2021-07-24,2021-07-24,Vín,W62858,16:40,Departure,Plan
Icelandair,Farin 17:00,2021-07-24,2021-07-24,Chicago,FI853,16:45,Departure,Plan
Icelandair,Farin 17:00,2021-07-24,2021-07-24,Minneapolis St Paul,FI657,16:45,Departure,Plan
