Airline,C_Date,DateOut,DateBack,Destination,Price
Icelandair,2021-10-26,2021-10-27,2021-10-28,AMS,79045
Icelandair,2021-10-26,2021-10-27,2021-10-29,AMS,79045
Icelandair,2021-10-26,2021-10-27,2021-10-30,AMS,45545
Icelandair,2021-10-26,2021-10-27,2021-10-31,AMS,43545
Icelandair,2021-10-26,2021-10-27,2021-11-01,AMS,43545
Icelandair,2021-10-26,2021-10-27,2021-11-02,AMS,43545
Icelandair,2021-10-26,2021-10-27,2021-11-03,AMS,43545
Icelandair,2021-10-26,2021-10-27,2021-11-04,AMS,43545
Icelandair,2021-10-26,2021-10-27,2021-11-05,AMS,43545
Icelandair,2021-10-26,2021-10-27,2021-11-06,AMS,43545
Icelandair,2021-10-26,2021-10-27,2021-11-07,AMS,41845
Icelandair,2021-10-26,2021-10-27,2021-11-08,AMS,41845
Icelandair,2021-10-26,2021-10-27,2021-11-09,AMS,43545
Icelandair,2021-10-26,2021-10-27,2021-11-10,AMS,41845
Icelandair,2021-10-26,2021-10-27,2021-11-11,AMS,41845
Icelandair,2021-10-26,2021-10-27,2021-11-12,AMS,41845
Icelandair,2021-10-26,2021-10-27,2021-11-13,AMS,41845
Icelandair,2021-10-26,2021-10-27,2021-11-14,AMS,40045
Icelandair,2021-10-26,2021-10-27,2021-11-15,AMS,40045
Icelandair,2021-10-26,2021-10-27,2021-11-16,AMS,41845
Icelandair,2021-10-26,2021-10-27,2021-11-17,AMS,41845
Icelandair,2021-10-26,2021-10-27,2021-11-18,AMS,41845
Icelandair,2021-10-26,2021-10-28,2021-10-29,AMS,73345
Icelandair,2021-10-26,2021-10-28,2021-10-30,AMS,80345
Icelandair,2021-10-26,2021-10-28,2021-10-31,AMS,45545
Icelandair,2021-10-26,2021-10-28,2021-11-01,AMS,45545
Icelandair,2021-10-26,2021-10-28,2021-11-02,AMS,45545
Icelandair,2021-10-26,2021-10-28,2021-11-03,AMS,45545
Icelandair,2021-10-26,2021-10-28,2021-11-04,AMS,45545
Icelandair,2021-10-26,2021-10-28,2021-11-05,AMS,45545
Icelandair,2021-10-26,2021-10-28,2021-11-06,AMS,45545
