Airline,C_Date,DateOut,DateBack,Destination,Price
Play,2021-10-18,2021-10-21,2021-10-22,BER,42395
Play,2021-10-18,2021-10-21,2021-10-24,BER,49292
Play,2021-10-18,2021-10-21,2021-10-25,BER,49292
Play,2021-10-18,2021-10-21,2021-10-28,BER,40610
Play,2021-10-18,2021-10-21,2021-10-29,BER,40610
Play,2021-10-18,2021-10-21,2021-10-31,BER,42395
Play,2021-10-18,2021-10-21,2021-11-01,BER,40610
Play,2021-10-18,2021-10-21,2021-11-04,BER,40610
Play,2021-10-18,2021-10-21,2021-11-05,BER,37370
Play,2021-10-18,2021-10-21,2021-11-07,BER,40610
Play,2021-10-18,2021-10-21,2021-11-08,BER,42395
Play,2021-10-18,2021-10-21,2021-11-11,BER,37370
Play,2021-10-18,2021-10-21,2021-11-12,BER,37370
Play,2021-10-18,2021-10-21,2021-11-14,BER,40610
Play,2021-10-18,2021-10-21,2021-11-15,BER,43994
Play,2021-10-18,2021-10-21,2021-11-18,BER,37370
Play,2021-10-18,2021-10-21,2021-11-19,BER,40610
Play,2021-10-18,2021-10-21,2021-11-21,BER,40610
Play,2021-10-18,2021-10-21,2021-11-22,BER,47654
Play,2021-10-18,2021-10-21,2021-11-25,BER,37370
Play,2021-10-18,2021-10-21,2021-11-26,BER,37370
Play,2021-10-18,2021-10-21,2021-11-28,BER,42395
Play,2021-10-18,2021-10-21,2021-11-29,BER,47654
Play,2021-10-18,2021-10-21,2021-12-02,BER,43994
Play,2021-10-18,2021-10-21,2021-12-03,BER,40610
Play,2021-10-18,2021-10-21,2021-12-05,BER,42395
Play,2021-10-18,2021-10-21,2021-12-06,BER,51434
Play,2021-10-18,2021-10-21,2021-12-09,BER,37375
Play,2021-10-18,2021-10-21,2021-12-10,BER,40610
Play,2021-10-18,2021-10-22,2021-10-24,BER,49292
Play,2021-10-18,2021-10-22,2021-10-25,BER,49292
Play,2021-10-18,2021-10-22,2021-10-28,BER,40610
Play,2021-10-18,2021-10-22,2021-10-29,BER,40610
Play,2021-10-18,2021-10-22,2021-10-31,BER,42395
Play,2021-10-18,2021-10-22,2021-11-01,BER,40610
Play,2021-10-18,2021-10-22,2021-11-04,BER,40610
Play,2021-10-18,2021-10-22,2021-11-05,BER,37370
Play,2021-10-18,2021-10-22,2021-11-07,BER,40610
Play,2021-10-18,2021-10-22,2021-11-08,BER,42395
Play,2021-10-18,2021-10-22,2021-11-11,BER,37370
Play,2021-10-18,2021-10-22,2021-11-12,BER,37370
Play,2021-10-18,2021-10-22,2021-11-14,BER,40610
Play,2021-10-18,2021-10-22,2021-11-15,BER,43994
Play,2021-10-18,2021-10-22,2021-11-18,BER,37370
Play,2021-10-18,2021-10-22,2021-11-19,BER,40610
Play,2021-10-18,2021-10-22,2021-11-21,BER,40610
Play,2021-10-18,2021-10-22,2021-11-22,BER,47654
Play,2021-10-18,2021-10-22,2021-11-25,BER,37370
Play,2021-10-18,2021-10-22,2021-11-26,BER,37370
Play,2021-10-18,2021-10-22,2021-11-28,BER,42395
Play,2021-10-18,2021-10-22,2021-11-29,BER,47654
Play,2021-10-18,2021-10-22,2021-12-02,BER,43994
Play,2021-10-18,2021-10-22,2021-12-03,BER,40610
Play,2021-10-18,2021-10-22,2021-12-05,BER,42395
Play,2021-10-18,2021-10-22,2021-12-06,BER,51434
Play,2021-10-18,2021-10-22,2021-12-09,BER,37375
Play,2021-10-18,2021-10-22,2021-12-10,BER,40610
